time,ax,ay,az,atotal
3.663,0.03,0.04,-0.04,0.07
3.673,0.01,0.04,-0.06,0.07
3.683,-0.01,0.05,-0.04,0.06
3.693,-0.02,0.03,-0.02,0.04
3.703,-0.02,0.02,0.01,0.03
3.713,0.02,0.00,0.03,0.03
3.723,0.01,-0.00,0.05,0.05
3.733,0.01,0.01,0.06,0.06
3.743,0.02,0.00,0.04,0.05
3.753,0.01,0.01,0.02,0.02
3.763,-0.01,0.00,-0.00,0.01
3.773,-0.02,0.01,-0.01,0.02
3.783,-0.01,0.05,-0.03,0.06
3.793,-0.00,0.06,-0.03,0.06
3.803,-0.00,0.06,0.01,0.06
3.813,-0.03,0.06,0.01,0.07
3.823,-0.04,0.05,0.01,0.06
3.833,-0.01,0.06,0.03,0.07
3.843,-0.02,0.05,0.02,0.06
3.853,-0.01,0.04,0.03,0.05
3.863,-0.00,0.02,0.02,0.03
3.874,-0.02,0.01,0.04,0.05
3.884,-0.01,0.01,0.03,0.04
3.893,0.01,0.01,0.04,0.04
3.904,0.02,0.02,0.03,0.04
3.914,0.01,0.04,0.04,0.06
3.924,0.01,0.02,0.05,0.05
3.934,0.01,0.02,0.05,0.05
3.944,0.02,0.03,0.04,0.05
3.954,0.02,0.00,0.04,0.04
3.964,0.01,0.01,0.01,0.02
3.974,0.03,0.02,-0.00,0.03
3.984,0.04,0.02,-0.01,0.04
3.994,0.04,0.02,-0.02,0.05
4.004,0.03,0.03,-0.06,0.07
4.014,0.01,0.02,-0.10,0.10
4.024,0.00,0.03,-0.09,0.10
4.034,-0.01,0.03,-0.07,0.08
4.044,-0.05,0.04,-0.02,0.07
4.054,-0.02,0.03,0.01,0.04
4.064,-0.00,0.02,0.01,0.02
4.074,-0.00,-0.01,-0.04,0.04
4.084,0.01,-0.03,-0.06,0.07
4.094,0.02,0.00,-0.05,0.06
4.104,0.01,0.04,-0.10,0.11
4.114,0.04,0.04,-0.14,0.15
4.124,0.05,0.02,-0.16,0.17
4.134,0.02,-0.00,-0.15,0.15
4.144,-0.02,-0.00,-0.10,0.11
4.154,-0.04,0.00,-0.06,0.07
4.164,-0.02,0.01,-0.05,0.05
4.174,-0.01,0.02,0.00,0.03
4.184,0.01,0.01,0.09,0.09
4.194,-0.00,0.00,0.15,0.15
4.204,-0.02,0.00,0.17,0.17
4.214,-0.01,0.01,0.17,0.17
4.224,-0.01,0.02,0.13,0.13
4.234,0.02,0.04,0.08,0.09
4.244,0.01,0.05,0.03,0.06
4.254,0.00,0.06,0.00,0.06
4.264,-0.02,0.07,-0.00,0.07
4.274,-0.04,0.08,-0.01,0.09
4.284,-0.05,0.07,-0.00,0.09
4.294,-0.04,0.06,-0.01,0.07
4.304,-0.02,0.05,0.01,0.06
4.314,-0.05,0.04,-0.00,0.06
4.324,-0.05,0.03,-0.00,0.06
4.334,-0.02,0.03,0.01,0.04
4.344,-0.01,0.02,0.04,0.04
4.354,0.02,0.03,0.05,0.06
4.364,-0.01,0.05,0.07,0.08
4.374,-0.01,0.03,0.07,0.08
4.384,-0.00,0.04,0.02,0.04
4.394,0.02,0.03,-0.04,0.06
4.404,0.04,0.03,-0.09,0.11
4.414,0.04,0.02,-0.10,0.11
4.424,0.03,0.04,-0.08,0.09
4.434,0.02,0.04,-0.06,0.07
4.444,0.02,0.01,-0.05,0.05
4.454,0.02,-0.01,-0.02,0.03
4.464,0.03,-0.02,-0.00,0.03
4.474,0.03,-0.01,-0.01,0.04
4.484,0.03,-0.01,-0.02,0.03
4.494,0.02,-0.00,-0.03,0.03
4.504,0.00,0.00,-0.02,0.02
4.514,0.00,0.02,-0.02,0.03
4.524,0.01,0.04,-0.04,0.05
4.534,-0.01,0.03,-0.03,0.05
4.544,-0.04,0.03,-0.02,0.06
4.554,-0.03,0.04,0.02,0.05
4.564,-0.05,0.04,0.03,0.07
4.574,-0.04,0.04,0.05,0.08
4.584,-0.03,0.03,0.04,0.06
4.594,-0.02,0.02,0.04,0.05
4.604,-0.02,0.01,0.04,0.05
4.614,-0.03,0.02,0.03,0.05
4.624,-0.02,0.05,0.02,0.05
4.634,-0.00,0.04,0.05,0.06
4.644,0.00,0.04,0.04,0.06
4.654,0.02,0.02,0.04,0.05
4.664,0.01,0.01,0.02,0.03
4.674,-0.00,-0.01,0.02,0.03
4.684,0.01,0.00,-0.01,0.01
4.694,0.02,0.01,-0.01,0.03
4.704,0.02,0.00,-0.02,0.03
4.714,0.01,-0.00,-0.05,0.05
4.724,0.02,-0.02,-0.05,0.06
4.734,0.00,-0.01,-0.03,0.03
4.744,0.01,0.01,-0.03,0.04
4.754,0.01,0.03,-0.01,0.03
4.764,0.03,0.03,-0.01,0.04
4.774,0.02,0.03,-0.00,0.04
4.784,0.04,0.01,-0.02,0.05
4.795,0.03,-0.01,-0.04,0.05
4.804,0.00,-0.01,-0.01,0.02
4.814,-0.02,0.01,0.02,0.03
4.824,0.00,0.04,0.02,0.04
4.835,0.02,0.05,-0.07,0.09
4.844,0.05,0.03,-0.11,0.13
4.855,0.04,0.00,-0.12,0.12
4.864,0.01,-0.01,-0.06,0.07
4.874,-0.02,-0.00,-0.01,0.02
4.884,0.00,0.01,0.02,0.02
4.895,0.00,0.01,0.03,0.03
4.904,0.04,0.01,0.06,0.08
4.914,0.05,0.02,0.08,0.10
4.924,0.01,0.01,0.05,0.05
4.935,-0.01,0.01,0.01,0.02
4.944,-0.02,0.01,-0.05,0.06
4.955,-0.01,0.01,-0.08,0.09
4.964,0.00,0.03,-0.09,0.09
4.974,-0.01,0.01,-0.05,0.05
4.984,-0.00,0.04,-0.03,0.05
4.995,-0.01,0.04,0.01,0.04
5.005,-0.02,0.04,0.03,0.05
5.015,-0.03,0.03,0.03,0.05
5.025,-0.01,0.00,0.04,0.04
5.034,-0.00,0.02,0.03,0.04
5.045,0.02,0.00,0.01,0.02
5.054,0.02,0.01,-0.01,0.03
5.065,0.01,0.02,0.00,0.02
5.075,0.02,0.02,-0.00,0.03
5.085,0.01,0.01,0.04,0.04
5.095,-0.01,0.02,0.07,0.08
5.105,-0.00,0.02,0.05,0.06
5.115,0.02,0.02,0.02,0.03
5.125,0.05,0.00,-0.03,0.06
5.135,0.03,0.02,-0.06,0.07
5.145,0.00,0.01,-0.04,0.04
5.155,0.00,0.02,-0.02,0.03
5.165,0.01,0.01,0.01,0.01
5.175,0.02,-0.00,0.03,0.04
5.185,0.00,-0.01,0.04,0.04
5.195,0.01,-0.03,0.04,0.05
5.205,-0.01,-0.03,0.02,0.03
5.215,0.01,-0.03,0.00,0.03
5.225,0.01,-0.01,-0.02,0.02
5.235,0.04,-0.00,-0.04,0.05
5.245,0.03,0.03,-0.05,0.06
5.255,0.03,0.02,-0.04,0.06
5.265,0.01,0.03,-0.01,0.03
5.275,-0.00,0.03,0.01,0.03
5.285,-0.03,0.04,0.04,0.06
5.295,-0.02,0.03,0.04,0.06
5.305,-0.02,0.01,0.02,0.04
5.315,-0.01,0.01,0.02,0.02
5.325,0.01,-0.01,0.00,0.01
5.335,0.00,-0.00,-0.01,0.01
5.345,0.03,-0.00,-0.01,0.04
5.355,0.01,0.02,-0.03,0.03
5.365,-0.00,0.03,-0.01,0.03
5.375,-0.00,0.03,-0.00,0.03
5.385,0.02,0.01,0.01,0.02
5.395,0.00,0.01,0.01,0.01
5.405,0.01,-0.01,-0.00,0.02
5.415,0.02,-0.01,0.00,0.03
5.425,0.03,-0.01,0.01,0.03
5.435,0.02,-0.01,-0.01,0.02
5.445,-0.00,-0.00,-0.03,0.03
5.455,0.02,0.00,-0.03,0.03
5.465,0.03,0.02,-0.02,0.04
5.475,0.03,0.01,-0.02,0.03
5.485,0.02,0.01,0.01,0.02
5.495,0.00,0.02,-0.01,0.02
5.505,-0.01,0.02,-0.00,0.02
5.515,0.01,0.03,0.01,0.03
5.525,0.01,0.02,-0.00,0.02
5.535,0.01,0.01,-0.04,0.04
5.545,0.02,0.02,-0.06,0.07
5.555,0.00,-0.00,-0.04,0.04
5.565,-0.02,-0.04,0.02,0.05
5.575,-0.04,-0.02,0.07,0.08
5.585,0.00,0.04,0.04,0.06
5.595,0.06,0.02,-0.00,0.06
5.605,0.06,-0.02,-0.06,0.09
5.615,0.04,-0.02,-0.08,0.10
5.625,0.00,-0.01,-0.04,0.04
5.635,-0.03,0.03,-0.02,0.04
5.645,0.00,0.01,-0.02,0.02
5.655,0.02,-0.01,0.00,0.03
5.665,0.03,-0.00,0.03,0.04
5.675,-0.00,-0.01,0.05,0.05
5.685,-0.01,-0.00,0.03,0.04
5.695,-0.02,0.00,-0.02,0.03
5.705,-0.00,0.00,-0.06,0.06
5.715,-0.01,0.02,-0.05,0.06
5.725,0.02,0.02,0.01,0.03
5.735,0.01,0.02,0.04,0.05
5.745,0.01,0.02,0.06,0.06
5.755,0.01,0.02,0.08,0.08
5.765,0.01,0.02,0.07,0.07
5.775,0.01,0.01,0.02,0.03
5.785,-0.01,0.02,-0.01,0.02
5.795,-0.02,0.03,-0.02,0.04
5.805,-0.01,0.02,-0.02,0.03
5.815,0.01,0.02,-0.01,0.03
5.825,0.00,0.02,0.01,0.02
5.835,-0.00,-0.00,0.02,0.02
5.845,0.03,0.01,0.05,0.06
5.855,-0.01,0.01,0.04,0.04
5.865,-0.01,0.03,0.01,0.03
5.875,0.01,0.02,-0.03,0.04
5.885,0.04,-0.00,-0.05,0.06
5.895,0.03,0.00,-0.03,0.05
5.905,0.01,0.03,-0.03,0.04
5.915,0.00,0.01,-0.03,0.04
5.925,0.00,-0.01,-0.02,0.02
5.935,0.00,-0.02,-0.00,0.02
5.945,-0.01,-0.01,0.00,0.02
5.955,-0.01,-0.03,0.02,0.03
5.965,0.00,-0.02,-0.02,0.03
5.975,0.01,-0.03,-0.03,0.04
5.985,-0.02,-0.03,-0.03,0.04
5.995,-0.00,-0.01,-0.03,0.03
6.005,0.01,0.01,-0.00,0.02
6.015,0.00,0.04,0.02,0.04
6.025,-0.00,0.04,0.03,0.05
6.035,-0.02,0.03,0.05,0.07
6.045,-0.02,0.06,0.07,0.09
6.055,-0.03,0.04,0.07,0.09
6.065,0.00,0.05,0.02,0.05
6.075,-0.00,0.03,-0.01,0.03
6.085,-0.01,0.02,-0.02,0.03
6.095,-0.01,0.01,-0.03,0.03
6.105,-0.02,0.01,-0.03,0.04
6.115,-0.03,0.02,-0.03,0.04
6.126,-0.02,0.03,-0.01,0.03
6.136,0.00,0.03,0.00,0.03
6.146,-0.01,0.03,0.00,0.03
6.156,0.01,0.01,-0.00,0.01
6.166,-0.00,0.00,0.01,0.01
6.176,-0.00,0.01,0.01,0.02
6.186,-0.00,-0.01,-0.02,0.03
6.196,0.01,-0.01,-0.03,0.03
6.206,0.02,-0.02,-0.05,0.05
6.216,0.03,-0.02,-0.05,0.06
6.226,0.03,-0.01,-0.06,0.07
6.236,0.02,-0.01,-0.06,0.06
6.246,-0.00,-0.00,-0.06,0.06
6.256,-0.01,0.01,-0.05,0.05
6.266,-0.01,0.04,-0.05,0.06
6.276,-0.01,0.04,-0.04,0.06
6.286,-0.00,0.04,0.02,0.04
6.296,0.01,0.03,0.01,0.03
6.306,0.03,-0.01,-0.04,0.05
6.316,-0.00,-0.03,-0.06,0.07
6.326,-0.03,-0.02,-0.03,0.04
6.336,-0.02,0.03,-0.03,0.05
6.346,0.01,0.05,-0.06,0.08
6.356,0.02,0.03,-0.09,0.09
6.366,0.01,-0.01,-0.08,0.08
6.376,-0.00,-0.01,-0.03,0.03
6.386,-0.02,-0.00,0.03,0.04
6.396,-0.02,0.01,0.03,0.04
6.406,0.01,-0.01,0.02,0.03
6.416,0.03,0.01,0.03,0.05
6.426,0.04,0.01,0.03,0.05
6.436,0.01,0.01,0.03,0.03
6.446,-0.02,0.03,0.01,0.03
6.456,-0.02,0.01,-0.02,0.03
6.466,-0.02,0.04,-0.06,0.08
6.476,-0.01,0.01,-0.09,0.09
6.486,0.00,0.03,-0.07,0.08
6.496,0.00,0.02,-0.04,0.04
6.506,-0.01,0.02,0.01,0.03
6.516,-0.01,0.01,0.03,0.04
6.526,-0.02,0.00,0.06,0.06
6.536,-0.02,-0.00,0.03,0.03
6.546,-0.03,0.00,0.04,0.05
6.556,-0.01,-0.01,0.02,0.03
