time,ax,ay,az,atotal
2.922,-0.47,0.07,0.40,0.62
2.932,-0.32,0.05,0.18,0.37
2.942,-0.27,0.10,0.02,0.29
2.952,-0.17,0.26,-0.07,0.32
2.962,-0.07,0.50,-0.17,0.53
2.972,0.06,0.69,-0.32,0.76
2.982,0.10,0.70,-0.16,0.73
2.992,0.16,0.68,0.17,0.72
3.002,0.11,0.49,0.24,0.56
3.012,-0.03,0.32,0.16,0.36
3.022,-0.06,0.48,0.05,0.48
3.032,-0.12,0.72,0.00,0.73
3.042,-0.19,0.70,0.09,0.73
3.052,-0.11,0.58,0.19,0.62
3.062,0.06,0.41,0.27,0.49
3.072,0.20,0.36,0.29,0.51
3.082,0.17,0.33,0.21,0.42
3.092,0.08,0.27,0.20,0.35
3.102,0.01,0.36,0.26,0.45
3.112,-0.06,0.50,0.27,0.57
3.122,-0.14,0.46,0.30,0.57
3.132,-0.14,0.27,0.36,0.47
3.142,-0.04,0.20,0.35,0.40
3.152,-0.05,0.09,0.25,0.27
3.162,-0.02,-0.02,0.26,0.26
3.172,0.01,-0.00,0.26,0.26
3.182,-0.02,0.05,0.17,0.18
3.192,-0.05,0.09,0.07,0.13
3.202,-0.10,0.09,-0.01,0.14
3.212,-0.19,0.05,-0.03,0.20
3.222,-0.24,-0.01,0.08,0.26
3.232,-0.30,0.03,0.25,0.39
3.242,-0.27,0.10,0.30,0.42
3.252,-0.35,-0.07,0.25,0.43
3.262,-0.37,-0.32,0.24,0.54
3.272,-0.22,-0.31,0.20,0.43
3.282,-0.05,-0.08,0.13,0.16
3.292,0.02,0.12,0.16,0.20
3.302,-0.02,0.17,0.16,0.24
3.312,-0.10,0.13,0.18,0.24
3.322,-0.12,0.09,0.19,0.24
3.332,-0.21,-0.03,0.13,0.25
3.342,-0.30,-0.22,0.06,0.38
3.352,-0.21,-0.17,0.15,0.31
3.362,-0.05,0.09,0.18,0.21
3.372,-0.00,0.32,0.10,0.34
3.382,-0.04,0.40,0.07,0.41
3.392,-0.10,0.34,0.15,0.38
3.402,-0.18,0.30,0.19,0.39
3.412,-0.26,0.33,0.14,0.44
3.422,-0.37,0.24,0.13,0.46
3.432,-0.38,0.17,0.25,0.49
3.442,-0.27,0.26,0.30,0.48
3.452,-0.13,0.34,0.21,0.43
3.462,-0.04,0.30,0.26,0.40
3.472,0.03,0.21,0.32,0.38
3.482,0.07,0.10,0.39,0.41
3.492,0.03,-0.02,0.46,0.46
3.502,-0.08,-0.00,0.11,0.14
3.512,-0.12,0.16,-0.10,0.22
3.522,0.03,0.25,-0.06,0.26
3.532,0.04,0.19,0.09,0.22
3.542,0.06,0.11,0.18,0.22
3.552,-0.03,0.08,0.19,0.21
3.562,-0.14,0.08,0.20,0.26
3.572,-0.28,0.13,0.15,0.35
3.582,-0.31,0.11,0.15,0.36
3.592,-0.22,0.12,0.13,0.28
3.602,-0.12,0.16,0.10,0.22
3.612,-0.07,0.16,0.19,0.26
3.622,-0.08,0.19,0.20,0.29
3.633,-0.11,0.15,0.11,0.22
3.642,-0.09,0.09,0.00,0.13
3.652,-0.07,0.11,-0.04,0.13
3.662,-0.12,0.12,0.01,0.17
3.673,-0.20,0.10,0.13,0.26
3.682,-0.18,0.10,0.15,0.26
3.693,-0.10,0.13,0.13,0.21
3.703,-0.12,0.15,0.11,0.22
3.713,-0.16,0.13,0.14,0.25
3.723,-0.12,0.07,0.12,0.18
3.733,-0.09,0.06,0.08,0.14
3.743,-0.09,0.01,0.12,0.15
3.753,-0.10,0.01,0.14,0.18
3.762,-0.15,0.09,0.06,0.18
3.773,-0.23,0.12,-0.01,0.26
3.783,-0.27,0.06,-0.02,0.27
3.793,-0.27,0.03,-0.00,0.27
3.803,-0.22,0.05,0.04,0.23
3.813,-0.15,0.04,0.13,0.20
3.823,-0.07,0.01,0.22,0.23
3.833,-0.05,0.02,0.25,0.25
3.843,-0.09,0.05,0.19,0.21
3.853,-0.09,0.07,0.15,0.19
3.863,-0.07,0.07,0.17,0.20
3.873,0.00,0.06,0.31,0.32
3.883,-0.01,0.07,0.34,0.35
3.893,-0.05,0.07,0.30,0.31
3.903,-0.05,0.09,0.21,0.23
3.913,-0.08,0.15,0.16,0.23
3.923,-0.13,0.23,0.13,0.30
3.933,-0.13,0.23,0.16,0.31
3.943,-0.02,0.18,0.20,0.27
3.953,0.08,0.16,0.23,0.29
3.963,0.15,0.17,0.21,0.31
3.973,0.14,0.13,0.20,0.27
3.981,0.12,0.13,0.20,0.27
3.991,0.01,0.23,0.17,0.29
4.001,-0.09,0.26,0.12,0.29
4.011,-0.12,0.17,0.05,0.21
4.021,-0.07,0.15,-0.00,0.16
4.031,0.00,0.19,-0.08,0.21
4.041,0.03,0.22,-0.08,0.23
4.052,0.00,0.18,-0.01,0.18
4.062,-0.01,0.19,-0.01,0.19
4.071,-0.09,0.21,-0.01,0.23
4.081,-0.21,0.20,-0.01,0.29
4.091,-0.24,0.16,-0.09,0.30
4.101,-0.27,0.24,-0.26,0.44
4.111,-0.31,0.27,-0.14,0.43
4.122,-0.29,0.22,-0.13,0.38
4.131,-0.27,0.15,-0.19,0.36
4.142,-0.28,0.05,-0.13,0.31
4.151,-0.28,0.00,-0.16,0.32
4.162,-0.22,0.03,-0.29,0.37
4.172,-0.14,0.07,-0.38,0.41
4.182,-0.07,0.06,-0.19,0.21
4.192,-0.07,0.01,0.05,0.08
4.202,-0.10,0.01,0.07,0.12
4.212,-0.22,0.00,-0.04,0.23
4.222,-0.31,-0.03,-0.09,0.32
4.232,-0.29,-0.12,-0.01,0.31
4.242,-0.15,-0.12,0.07,0.21
4.251,0.03,-0.02,0.04,0.05
4.262,0.12,0.05,-0.01,0.13
4.272,0.13,0.01,0.03,0.13
4.282,0.07,-0.05,0.09,0.13
4.292,-0.01,-0.05,0.11,0.12
4.302,-0.11,-0.03,0.11,0.16
4.312,-0.17,-0.04,0.13,0.22
4.322,-0.19,-0.07,0.13,0.24
4.332,-0.14,-0.06,0.07,0.17
4.342,-0.07,-0.02,-0.07,0.10
4.354,-0.01,-0.01,-0.11,0.12
4.364,0.04,-0.04,0.05,0.07
4.374,0.04,-0.07,0.21,0.22
4.384,-0.04,-0.10,0.22,0.25
4.394,-0.11,-0.11,0.19,0.25
4.404,-0.14,-0.17,0.14,0.26
4.414,-0.20,-0.20,0.09,0.30
4.424,-0.27,-0.14,0.09,0.31
4.434,-0.21,-0.01,0.05,0.21
4.444,-0.16,0.09,-0.06,0.20
4.454,-0.10,0.07,-0.07,0.14
4.464,-0.05,0.06,0.00,0.08
4.474,-0.06,0.04,0.15,0.17
4.484,-0.03,0.10,0.22,0.24
4.494,-0.08,0.17,0.22,0.29
4.504,-0.10,0.23,0.24,0.35
4.514,-0.09,0.24,0.20,0.33
4.524,-0.08,0.19,0.13,0.25
4.534,-0.10,0.18,0.05,0.22
4.544,-0.11,0.18,-0.01,0.22
4.554,-0.13,0.20,-0.07,0.25
4.564,-0.17,0.18,-0.08,0.26
4.574,-0.18,0.15,-0.05,0.24
4.585,-0.17,0.16,-0.09,0.25
4.594,-0.17,0.14,-0.09,0.24
4.604,-0.13,0.09,-0.06,0.17
4.614,-0.12,0.07,-0.04,0.15
4.624,-0.11,0.06,-0.05,0.14
4.634,-0.11,0.06,-0.07,0.14
4.644,-0.14,0.06,-0.12,0.19
4.654,-0.17,0.03,-0.06,0.18
4.664,-0.21,-0.03,-0.06,0.22
4.674,-0.16,-0.01,-0.07,0.18
4.684,-0.10,0.06,-0.06,0.13
4.694,-0.13,0.05,-0.06,0.15
4.704,-0.13,0.02,0.01,0.14
4.714,-0.14,-0.03,0.11,0.18
4.725,-0.16,-0.08,0.10,0.21
4.734,-0.21,-0.11,0.10,0.26
4.745,-0.24,-0.06,0.11,0.27
4.755,-0.27,-0.02,0.08,0.29
4.764,-0.23,0.05,0.09,0.26
4.774,-0.14,0.03,0.05,0.15
4.784,-0.06,0.02,0.02,0.06
4.794,-0.03,0.03,0.08,0.09
4.804,-0.03,0.03,0.10,0.11
4.815,-0.09,-0.00,0.09,0.13
4.824,-0.11,0.05,0.06,0.14
4.834,-0.05,0.12,-0.04,0.13
4.845,-0.01,0.15,-0.02,0.15
4.855,0.02,0.17,0.04,0.18
4.864,-0.04,0.17,0.01,0.17
4.874,-0.12,0.17,-0.01,0.21
4.885,-0.17,0.17,-0.05,0.25
4.895,-0.21,0.15,-0.08,0.27
4.905,-0.23,0.16,-0.11,0.30
4.915,-0.17,0.15,-0.20,0.30
4.925,-0.09,0.13,-0.10,0.19
4.935,-0.04,0.15,0.01,0.15
4.945,-0.07,0.14,0.03,0.16
4.955,-0.14,0.10,0.07,0.18
4.964,-0.15,0.05,0.05,0.16
4.975,-0.16,0.06,-0.03,0.17
4.985,-0.13,0.14,-0.06,0.19
4.995,-0.01,0.19,0.07,0.20
5.005,0.03,0.16,0.18,0.24
5.015,0.07,0.05,0.19,0.20
5.025,0.03,-0.04,0.28,0.28
5.035,-0.05,-0.10,0.40,0.41
5.045,-0.07,-0.15,0.45,0.47
5.055,0.02,-0.12,0.36,0.38
5.065,0.13,-0.05,0.19,0.23
5.075,0.22,0.00,0.01,0.22
5.085,0.18,-0.01,-0.04,0.19
5.095,-0.10,-0.09,-0.03,0.13
5.105,-0.26,-0.11,-0.08,0.29
5.115,-0.35,-0.09,-0.10,0.37
5.125,-0.38,-0.07,-0.09,0.39
5.135,-0.39,-0.07,-0.09,0.41
5.145,-0.31,-0.05,-0.07,0.33
5.155,-0.19,-0.00,-0.05,0.20
5.165,-0.05,0.06,-0.12,0.15
5.175,0.04,0.08,-0.01,0.09
5.185,0.02,0.08,0.16,0.18
5.195,-0.06,0.12,0.10,0.17
5.205,-0.15,0.20,-0.01,0.25
5.215,-0.19,0.21,-0.05,0.28
5.225,-0.20,0.25,-0.09,0.34
5.235,-0.19,0.27,-0.15,0.36
5.245,-0.17,0.24,-0.20,0.36
5.255,-0.12,0.18,-0.19,0.29
5.265,-0.18,0.13,-0.17,0.28
5.275,-0.21,0.12,-0.16,0.29
5.285,-0.19,0.14,-0.15,0.28
5.295,-0.16,0.16,-0.18,0.29
5.305,-0.14,0.12,-0.17,0.25
5.315,-0.08,0.09,-0.09,0.15
5.325,-0.03,0.12,-0.03,0.13
5.335,-0.06,0.15,-0.04,0.17
5.345,-0.13,0.09,-0.08,0.17
5.355,-0.19,0.05,-0.12,0.23
5.365,-0.16,0.05,-0.13,0.21
5.375,-0.11,0.10,-0.13,0.20
5.385,-0.08,0.07,-0.06,0.12
5.395,-0.06,0.03,0.02,0.07
5.405,-0.06,0.02,0.04,0.08
5.415,-0.07,0.02,0.04,0.08
5.425,-0.09,0.03,0.03,0.10
5.435,-0.10,0.03,0.02,0.11
5.445,-0.10,0.05,0.05,0.12
5.455,-0.08,0.07,0.04,0.12
5.465,-0.09,0.07,0.02,0.12
5.475,-0.09,0.08,0.04,0.13
5.485,-0.10,0.06,0.07,0.14
5.495,-0.10,0.06,0.08,0.15
5.505,-0.08,0.05,0.09,0.12
